HTML,CSS,JS,REACTJS,NEXTJS,NODEJS,MONGODB,EXPRESSJS,FLASK,Development_Score
76,89,98,84,80,77,98,90,76,76
95,88,92,80,80,93,90,73,77,84
93,72,91,90,71,93,81,99,75,96
71,97,90,70,81,95,91,98,81,93
94,86,96,96,100,79,97,97,85,86
84,99,99,84,99,88,81,92,89,95
94,72,74,88,76,90,78,76,87,77
73,94,97,83,87,95,78,95,90,72
71,89,97,84,97,76,81,98,77,76
84,72,83,86,73,87,77,73,71,40
99,75,91,79,73,91,98,100,87,77
95,81,71,79,99,73,83,100,85,72
84,77,83,92,97,94,99,77,90,89
85,82,87,84,90,93,95,94,97,78
97,97,82,78,98,84,82,70,94,81
76,78,93,70,81,77,93,100,80,95
88,86,77,72,72,70,96,74,79,15
76,95,78,97,76,78,77,81,71,95
70,85,92,92,99,93,74,72,81,88
77,91,96,72,70,72,74,84,83,58
72,70,74,95,92,100,83,76,96,75
78,84,84,95,79,97,82,88,100,97
76,86,89,98,73,99,74,92,76,72
82,84,80,98,73,82,76,96,88,81
91,97,71,79,82,99,94,90,75,71
97,97,81,81,89,99,99,80,95,83
92,97,94,76,99,70,70,94,96,100
99,94,89,82,78,72,76,75,77,68
96,78,99,74,70,88,79,81,93,88
84,96,91,93,78,89,86,99,86,84
95,89,81,99,76,71,72,86,74,83
86,93,86,96,86,71,71,97,91,77
92,74,70,70,88,99,71,90,81,78
95,75,92,73,92,80,93,96,86,88
100,75,93,74,89,71,75,91,80,77
100,85,85,70,78,97,96,75,85,90
98,72,89,97,96,73,88,95,72,87
100,88,89,76,89,78,70,77,76,30
87,77,70,80,97,94,94,87,92,89
100,99,79,72,76,97,85,95,85,97
94,89,97,86,71,70,85,99,81,98
74,74,96,92,78,78,72,88,85,71
85,72,89,93,91,93,70,93,89,91
80,86,77,73,75,77,89,99,72,99
85,99,94,72,94,98,87,83,87,78
71,91,72,85,98,78,73,70,73,32
70,83,90,85,89,93,77,76,72,100
86,70,85,81,96,88,91,92,91,79
83,99,75,75,82,88,91,77,96,89
96,71,90,99,70,97,84,70,74,91
97,98,85,88,73,72,86,86,81,79
97,99,98,83,90,75,72,97,78,91
74,93,98,86,83,90,100,72,97,95
70,89,100,98,90,92,70,72,87,80
94,79,100,91,95,72,77,83,93,94
87,84,91,92,71,100,96,79,71,93
95,86,77,70,78,80,91,85,76,81
98,79,92,95,72,87,94,93,82,71
97,95,76,94,73,82,89,70,77,90
83,85,83,81,88,92,84,97,71,95
71,92,100,91,88,94,95,100,99,96
98,91,95,95,91,86,89,79,75,78
84,91,80,97,74,70,77,90,97,90
81,81,74,76,73,75,82,89,99,11
84,72,92,77,89,85,82,87,97,71
79,99,88,86,93,100,88,97,95,80
92,95,74,95,90,99,92,100,78,74
81,90,70,95,95,70,84,71,99,85
91,85,94,77,82,90,70,85,98,89
76,100,74,91,98,92,72,81,95,76
85,88,74,91,94,98,83,97,74,97
84,86,99,83,99,89,74,81,85,75
95,95,85,90,76,73,70,99,99,75
74,92,95,79,91,74,73,71,89,88
100,79,95,88,95,70,93,74,82,98
73,85,93,85,92,71,86,97,96,73
89,93,81,87,72,97,70,70,98,33
88,80,74,81,72,70,70,77,79,62
80,81,98,82,81,100,83,71,98,74
88,87,72,92,86,95,77,98,95,88
79,95,99,71,88,78,76,73,95,79
90,87,82,80,98,93,73,94,90,89
98,94,73,79,74,78,93,72,86,25
72,85,73,87,86,76,93,92,99,80
74,81,86,92,82,92,94,72,78,92
99,86,86,99,89,85,94,91,82,85
96,88,86,73,81,98,78,88,81,71
78,76,97,83,100,89,88,95,84,99
85,90,74,72,81,94,89,96,90,81
73,90,92,85,94,76,82,90,79,84
95,76,83,100,95,74,72,92,98,80
80,80,87,84,81,78,79,95,81,89
86,98,75,76,83,82,77,79,78,47
87,96,95,71,74,98,74,75,88,78
77,85,82,70,91,89,86,100,76,72
94,82,73,73,75,97,100,88,98,93
81,91,76,96,79,95,88,76,99,95
72,82,82,87,97,99,95,89,97,77
77,98,100,78,76,70,72,82,97,6
99,94,100,97,86,94,93,70,75,85
90,75,95,81,82,82,98,84,90,78
85,91,90,80,97,74,73,72,88,84
89,94,87,84,78,86,83,84,100,71
70,90,91,91,72,85,92,94,80,99
81,79,85,77,75,81,93,97,90,83
77,95,97,73,95,77,95,97,87,73
97,97,74,78,73,96,91,100,86,91
78,70,90,89,82,97,85,98,82,98
83,72,98,75,87,88,74,84,94,76
71,79,93,99,87,96,82,74,92,89
93,70,91,70,87,84,86,80,90,85
95,100,94,91,96,96,86,82,70,74
71,78,72,100,70,90,85,92,75,91
97,86,74,100,74,75,72,90,92,73
74,90,74,79,79,88,86,90,83,74
78,83,70,88,82,82,73,99,70,75
86,77,71,97,100,77,76,95,95,88
71,91,91,72,96,87,81,70,91,96
81,74,99,99,96,94,86,85,100,95
84,92,84,74,90,83,71,80,88,80
76,75,97,71,75,87,71,87,99,78
84,96,88,100,71,89,94,75,70,82
93,84,97,99,92,79,88,86,74,92
98,73,79,93,86,79,86,97,89,96
93,74,71,75,90,71,82,99,80,97
80,85,80,88,84,94,92,92,85,73
100,80,91,85,77,73,77,73,93,49
94,72,72,96,98,87,98,95,88,93
88,90,74,87,97,79,98,91,90,78
75,70,74,78,81,95,83,71,86,96
83,95,82,96,78,95,94,84,94,71
